,0
1176,317230211
1177,260350592
1178,247904419
1179,305926466
1180,192126190
1181,136234872
1182,142212818
1183,284854270
1184,60859296
1185,316987508
1186,315425897
1187,303822671
1188,310812741
1189,252089673
1190,112570820
1191,27091869
1192,208995680
1193,318365574
1194,313266320
1195,117528222
1196,317702499
1197,316791820
1198,298426955
1199,313369991
1200,318850915
1201,313536316
1202,316921296
1203,291683180
1204,234822911
1205,521306
1206,26551194
1207,21759245
1208,318676967
1209,318625749
1210,317541852
1211,235428639
1212,223817581
1213,313534611
1214,234830243
1215,59131720
1216,318687160
1217,318620764
1218,318375746
1219,319090642
1220,316310854
1221,319779191
1222,318681201
1223,6424743
1224,18006635
1225,318856760
1226,319092141
1227,318944624
1228,318940857
1229,317997636
1230,319556995
1231,319551525
1232,315993113
1233,319149500
1234,310492264
1235,319372986
1236,318337170
1237,612023
1238,13164506
1239,243258385
1240,285545402
1241,87161081
1242,113962834
1243,880802
1244,386212
1245,278177114
1246,296919110
1247,86321510
1248,270544944
1249,290827844
1250,6801485
1251,174031849
1252,11867177
1253,3635375
1254,299859057
1255,17887218
1256,59172854
1257,281569173
1258,522759
1259,285062911
1260,284545334
1261,254126643
1262,93992914
1263,296868488
1264,71997395
1265,36207022
1266,250470702
1267,242721007
1268,5977281
1269,294432221
1270,297627018
1271,227881967
1272,294892767
1273,297222158
1274,278406633
1275,46346207
1276,278463357
1277,201660456
1278,304267562
1279,11237852
1280,305729145
1281,273050399
1282,252372744
1283,306970904
1284,439179
1285,286728170
1286,438237
1287,298219502
1288,293422723
1289,210995804
1290,297476303
1291,210119914
1292,311091278
1293,294438107
1294,72104273
1295,188282281
1296,177956006
1297,22102826
1298,317906908
1299,162341292
1300,285824432
1301,101744781
1302,255663487
1303,287119341
1304,6457796
1305,299459173
1306,231798586
1307,289173060
1308,276314
1309,281315863
1310,106841364
1311,291330135
1312,499661
1313,292484982
1314,7311825
1315,239732252
1316,260940531
1317,287598052
1318,168882610
1319,37615116
1320,235926098
1321,290848420
1322,235903811
1323,284127793
1324,69590349
1325,251817345
1326,27959748
1327,176383926
1328,553514
1329,269582829
1330,82816352
1331,135083208
1332,303469053
1333,3073450
1334,299500113
1335,273569273
1336,295783930
1337,308354663
1338,310557289
1339,6773713
1340,298254049
1341,285405607
1342,174027352
1343,184155541
1344,306370556
1345,311554032
1346,294843800
1347,152573882
1348,291463310
1349,92667335
1350,293793581
1351,22141227
1352,511868
1353,238145830
1354,47562614
1355,251226772
1356,309866794
1357,153816757
1358,301034144
1359,301034522
1360,176462212
1361,281789376
1362,226648808
1363,227672150
1364,175468852
1365,97804551
1366,44036362
1367,71816160
1368,6216704
1369,8614741
1370,258994160
1371,305602018
1372,258992743
1373,262948619
1374,265361932
1375,235275679
1376,191359
1377,296824436
1378,306953305
1379,275116814
1380,107961608
1381,257118343
1382,162341199
1383,31689843
1384,297990673
1385,303731289
1386,172881307
1387,15450789
1388,296638406
1389,52450062
1390,256360676
